id_driver,courier_score,courier_dtype,total_orders,total_shifts,avg_orders_per_shift,days_active,experience_category,avg_time_ratio,median_time_ratio,stddev_up_ratio,pct_timer_up_expired
183986,0.24135091987046003,Авто,394,52,7.576923076923077,107,опытный,0.5095307349567227,0.5124266748996604,0.1315206340664024,0.3389830508474576
206367,0.22382455243286628,Авто,324,43,7.534883720930233,65,опытный,0.5699838784760769,0.5490196078431373,0.1663512636998123,2.23463687150838
202438,0.33819992441426017,Авто,558,44,12.681818181818182,75,опытный,0.4946431508985692,0.4746423927178153,0.1535338977173414,1.4687882496940026
41026,0.39924744777500226,Электровело,886,101,8.772277227722773,137,опытный,0.6960557489929018,0.6959628951220769,0.1697811008518936,4.594272076372316
128446,0.2574015544433208,Авто,288,37,7.783783783783784,69,опытный,0.6558245381924868,0.6365918031970519,0.1637233281473576,3.1598513011152414
111482,0.46045063939937547,Авто,361,20,18.05,79,опытный,0.4807143273553,0.4758364312267658,0.1309301120245154,0.6299212598425197
168349,0.30584402179723835,Вело,249,84,2.9642857142857144,139,обычный,0.6924586995920287,0.6964079327554504,0.2297656345752498,6.167400881057269
138261,0.3009245384048753,Авто,230,25,9.2,50,обычный,0.6757854319075726,0.6651884700665188,0.1795966629674311,8.47457627118644
206939,0.30505244961416267,Авто,285,36,7.916666666666667,66,опытный,0.6913418009353227,0.6717391304347826,0.1922300667356677,9.664694280078894
95613,0.19941325714595085,Электровело,303,39,7.769230769230769,71,опытный,0.491443569166767,0.4787581699346405,0.1466004697333998,0.0
116780,0.522422605605501,Авто,1556,109,14.275229357798166,139,эксперт,0.5990275859899706,0.5806492947351156,0.1819029549050769,4.247391952309985
171222,0.353302250884663,Авто,495,54,9.166666666666666,95,опытный,0.658684292850948,0.6434582053846392,0.1764836578453257,8.098591549295776
135518,0.4614105226815937,Электровело,650,61,10.655737704918034,139,опытный,0.675893933879388,0.682562466772993,0.188391354679492,4.651162790697675
183741,0.28608782217535766,Авто,136,21,6.476190476190476,81,обычный,0.6846441054729879,0.6646706586826348,0.1902181930645282,9.77777777777778
217869,0.2768918318466553,Авто,231,23,10.043478260869565,39,обычный,0.5752964221318234,0.5473240788468032,0.1886600756948127,5.208333333333334
202185,0.12663432292988286,Пеший,146,27,5.407407407407407,76,обычный,0.4186010581860801,0.3967784777396455,0.1470416304394709,0.0
11973,0.06956117467445927,Вело,106,29,3.655172413793104,31,обычный,0.565704509400506,0.5392592592592592,0.1555206614264745,3.015075376884422
49919,0.3810796193809007,Вело,205,23,8.91304347826087,134,обычный,0.6531256649272859,0.6560050568900126,0.1652248565211457,2.989130434782609
93334,0.5383735404983595,Авто,2417,132,18.310606060606062,139,эксперт,0.4212686841305852,0.4054341030890445,0.139151788628516,0.3863134657836645
133301,0.44489439491387067,Электровело,1403,118,11.889830508474576,134,опытный,0.5583226881493726,0.529891304347826,0.1811429398362058,5.353319057815846
185430,0.39373162068693646,Авто,425,28,15.178571428571429,57,опытный,0.600236155728103,0.5996459982017066,0.1379267646047899,0.974025974025974
157959,0.35370919853296007,Авто,1460,122,11.9672131147541,137,опытный,0.3926218049416164,0.3869731800766283,0.1199394777551657,0.0
172619,0.31883219136578345,Авто,937,117,8.008547008547009,122,опытный,0.5346226234412812,0.5093073593073593,0.1811582988836469,3.165374677002584
207700,0.2761454432938408,Авто,430,54,7.962962962962963,63,опытный,0.619728182542995,0.6082159296973078,0.1996142891524418,3.583617747440273
40149,0.3550525732791334,Электровело,847,113,7.495575221238938,140,опытный,0.6179829548346742,0.6199219620958751,0.1813466867723704,2.188328912466844
126559,0.3792941671593199,Авто,292,33,8.848484848484848,135,опытный,0.571408149112937,0.5352376771604164,0.202887713397331,2.34375
187159,0.21781409467763546,Авто,245,31,7.903225806451613,67,обычный,0.5359274762347548,0.5119047619047619,0.1578127153123341,1.348314606741573
195681,0.5805396773920799,Авто,514,25,20.56,84,опытный,0.5858850677399334,0.5663716814159292,0.1641137074714264,1.0935601458080195
34110,0.4338827228891413,Авто,334,31,10.774193548387096,113,опытный,0.574831948486544,0.5254107981220657,0.2237466141469997,10.526315789473683
118978,0.3775076688229299,Авто,918,99,9.272727272727272,137,опытный,0.5526907212106497,0.5326460481099656,0.1825485781924418,2.829581993569132
212478,0.2500797381454289,Авто,278,27,10.296296296296296,57,опытный,0.5080129369407228,0.4910246120920278,0.146791743669877,0.9569377990430622
152976,0.5515981700219046,Авто,480,29,16.551724137931036,139,опытный,0.6063191925474938,0.6098980836259111,0.1504176099924611,0.1179245283018868
184247,0.43055918675873767,Авто,365,28,13.035714285714286,109,опытный,0.5836076020119408,0.5595238095238095,0.167946589920988,3.15955766192733
166259,0.3711049729395259,Авто,604,79,7.6455696202531644,138,опытный,0.6809618295130258,0.6906666666666667,0.1744049981335081,3.391384051329056
209077,0.3535668713457211,Авто,631,66,9.56060606060606,65,опытный,0.7630078167892091,0.7755559997805006,0.167761596045299,10.43233082706767
107984,0.4028687366080231,Электровело,1868,164,11.390243902439025,140,эксперт,0.5223205676841121,0.5098076923076923,0.1552285250280005,0.7557436517533254
142793,0.4585826113846848,Авто,912,65,14.03076923076923,140,опытный,0.5462144857713767,0.5421920158959538,0.1315334979573714,0.5063291139240507
185948,0.41183907891217925,Авто,518,35,14.8,34,опытный,0.6339129384426365,0.6101364522417154,0.1883956746079098,7.380073800738007
203143,0.28126514926068,Электровело,584,68,8.588235294117647,77,опытный,0.5090588600674035,0.469047619047619,0.2010129202783296,4.6060606060606055
207198,0.45778104430056166,Вело,601,35,17.17142857142857,53,опытный,0.5638550952266494,0.5582706766917294,0.1696327753977711,2.480270574971815
143667,0.21573618223619775,Пеший,52,28,1.8571428571428568,125,обычный,0.6342388881731111,0.6103630265364506,0.21179710052414,3.333333333333333
170957,0.592693631165494,Электровело,2076,98,21.18367346938776,128,эксперт,0.4108326485952671,0.3777186761229314,0.1433246943615282,0.3472222222222222
205323,0.4037013771925282,Авто,417,34,12.264705882352942,69,опытный,0.5905123968165723,0.5279776847977684,0.2435461604466209,1.687116564417178
218134,0.2506558208896963,Авто,206,30,6.866666666666666,36,обычный,0.6864326958701772,0.6628394050380305,0.1989368320010088,13.586956521739127
213945,0.4611702989447638,Авто,819,45,18.2,53,опытный,0.569939909097832,0.5561097256857855,0.1482560770830382,0.4562737642585551
210340,0.24556338101577818,Авто,261,35,7.457142857142857,62,опытный,0.6247756948919,0.6072555205047319,0.1752897723911226,4.710920770877944
120540,0.5229268705250437,Авто,1211,73,16.589041095890412,137,опытный,0.5312003221646735,0.5215419501133787,0.1429089277609154,0.3269500233535731
181474,0.2006712216374262,Авто,320,36,8.88888888888889,51,опытный,0.4990368748492327,0.4817927170868347,0.1449039343417433,0.3478260869565217
211936,0.30845511734105724,Авто,349,28,12.464285714285714,53,опытный,0.5442383146283607,0.5385596973745352,0.1445991383842985,0.5514705882352942
